"Jahr";"Quartal";"Stadtbezirk mit zugeordneten Ortschaften";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"nach SGB II";"nach SGB III";"Anzahl unter 25 Jahre";"Anzahl 25 bis 34 Jahre";"Anzahl 35 bis 44 Jahre";"Anzahl 45 bis 54 Jahre";"Anzahl über 55 Jahre";"ohne Berufsausbildung";"mit Berufsausbildung";"mit akademischer Ausbildung"
"2012";"4. Quartal";"StB 0 Altstadt";2652;1543;1109;2177;473;2161;491;258;788;494;691;421;831;1377;397
"2012";"4. Quartal";"StB 1 Neustadt";2303;1336;967;2083;220;1710;593;176;927;513;424;263;577;1124;561
"2012";"4. Quartal";"StB 2 Pieschen";2931;1604;1327;2752;178;2177;754;236;995;596;684;420;807;1801;275
"2012";"4. Quartal";"StB 3 Klotzsche/nördliche Ortschaften";867;495;372;835;32;459;408;70;189;165;208;235;127;609;122
"2012";"4. Quartal";"StB 4 Loschwitz/OS Schönfeld-Weißig";846;455;391;817;29;436;410;57;163;183;233;210;147;513;178
"2012";"4. Quartal";"StB 5 Blasewitz";2747;1426;1321;2547;200;1828;919;223;776;563;656;529;567;1716;420
"2012";"4. Quartal";"StB 6 Leuben";1607;857;750;1554;53;1077;530;140;405;320;379;363;315;1110;158
"2012";"4. Quartal";"StB 7 Prohlis";3236;1925;1311;3044;192;2573;663;268;874;656;812;626;963;1960;267
"2012";"4. Quartal";"StB 8 Plauen";1758;989;769;1572;183;1212;546;138;538;328;370;384;410;953;367
"2012";"4. Quartal";"StB 9 Cotta/westliche Ortschaften";4695;2642;2053;4425;269;3542;1153;429;1406;926;1110;824;1203;3019;419
"2012";"4. Quartal";"unbekannt";189;155;34;186;3;179;10;47;88;29;14;11;122;64;2
"2013";"4. Quartal";"StB 0 Altstadt";2606;1486;1120;2092;513;2063;543;203;754;556;626;467;827;1276;456
"2013";"4. Quartal";"StB 1 Neustadt";2308;1331;977;2059;249;1728;580;190;904;539;437;238;578;1091;598
"2013";"4. Quartal";"StB 2 Pieschen";2750;1526;1224;2558;191;2078;672;205;939;585;602;419;743;1673;295
"2013";"4. Quartal";"StB 3 Klotzsche/nördliche Ortschaften";800;447;353;768;32;423;377;48;192;149;179;232;109;542;140
"2013";"4. Quartal";"StB 4 Loschwitz/OS Schönfeld-Weißig";787;436;351;760;27;409;378;44;167;170;197;209;134;465;175
"2013";"4. Quartal";"StB 5 Blasewitz";2615;1343;1272;2400;215;1744;871;179;771;524;613;528;531;1597;441
"2013";"4. Quartal";"StB 6 Leuben";1518;814;704;1458;60;1030;488;124;386;289;366;353;287;1059;154
"2013";"4. Quartal";"StB 7 Prohlis";3201;1882;1319;2978;223;2568;633;279;855;655;781;631;993;1907;257
"2013";"4. Quartal";"StB 8 Plauen";1733;966;767;1542;190;1215;518;129;535;330;375;364;416;928;366
"2013";"4. Quartal";"StB 9 Cotta/westliche Ortschaften";4550;2562;1988;4269;281;3440;1110;364;1389;848;1042;907;1198;2820;448
"2013";"4. Quartal";"unbekannt";243;200;43;229;14;229;14;52;110;47;18;16;159;76;3
"2014";"4. Quartal";"StB 0 Altstadt";2558;1479;1079;1997;559;2096;462;168;787;526;615;462;810;1241;463
"2014";"4. Quartal";"StB 1 Neustadt";2245;1317;928;1999;246;1639;606;138;903;553;395;256;562;991;664
"2014";"4. Quartal";"StB 2 Pieschen";2530;1393;1137;2355;175;1940;590;156;853;550;535;436;672;1532;296
"2014";"4. Quartal";"StB 3 Klotzsche/nördliche Ortschaften";729;398;331;705;23;404;325;34;172;129;173;221;110;484;129
"2014";"4. Quartal";"StB 4 Loschwitz/OS Schönfeld-Weißig";698;369;329;661;37;336;362;23;144;153;171;207;90;420;183
"2014";"4. Quartal";"StB 5 Blasewitz";2606;1360;1246;2365;241;1787;819;141;711;556;634;564;507;1537;512
"2014";"4. Quartal";"StB 6 Leuben";1448;769;679;1391;57;1034;414;96;382;285;340;345;292;979;158
"2014";"4. Quartal";"StB 7 Prohlis";3112;1800;1312;2872;240;2531;581;234;796;660;756;666;982;1806;279
"2014";"4. Quartal";"StB 8 Plauen";1711;994;717;1502;206;1207;504;126;520;344;345;376;419;890;383
"2014";"4. Quartal";"StB 9 Cotta/westliche Ortschaften";4319;2406;1913;4024;295;3304;1015;292;1280;852;984;911;1129;2657;483
"2014";"4. Quartal";"unbekannt";299;226;73;293;6;287;12;64;148;53;22;12;201;91;7
"2015";"4. Quartal";"StB 0 Altstadt";2424;1388;1036;1813;605;1969;455;146;731;506;584;457;788;1132;479
"2015";"4. Quartal";"StB 1 Neustadt";2205;1293;912;1923;282;1666;539;128;851;554;411;261;586;988;611
"2015";"4. Quartal";"StB 2 Pieschen";2342;1282;1060;2152;190;1804;538;113;782;569;470;408;635;1401;279
"2015";"4. Quartal";"StB 3 Klotzsche/nördliche Ortschaften";675;395;280;638;37;372;303;32;163;131;161;188;105;439;125
"2015";"4. Quartal";"StB 4 Loschwitz/OS Schönfeld-Weißig";626;345;281;596;30;341;285;19;152;140;145;170;86;380;154
"2015";"4. Quartal";"StB 5 Blasewitz";2509;1339;1170;2258;251;1689;820;119;715;509;606;560;503;1455;509
"2015";"4. Quartal";"StB 6 Leuben";1350;721;629;1281;69;1000;350;85;362;272;313;318;319;876;145
"2015";"4. Quartal";"StB 7 Prohlis";3020;1786;1234;2695;323;2502;518;199;832;652;718;619;1024;1704;265
"2015";"4. Quartal";"StB 8 Plauen";1663;952;711;1412;249;1211;452;99;516;383;324;341;437;813;398
"2015";"4. Quartal";"StB 9 Cotta/westliche Ortschaften";4064;2275;1789;3719;345;3190;874;245;1240;839;902;838;1154;2451;417
"2015";"4. Quartal";"unbekannt";237;197;40;230;7;228;9;40;114;50;21;12;159;72;4
"2016";"4. Quartal";"StB 0 Altstadt";2336;1322;1014;1645;684;1903;433;179;700;461;517;479;742;1055;438
"2016";"4. Quartal";"StB 1 Neustadt";1910;1165;745;1616;294;1413;497;107;740;487;354;222;531;780;547
"2016";"4. Quartal";"StB 2 Pieschen";2041;1134;907;1848;193;1597;444;118;661;459;439;364;599;1165;231
"2016";"4. Quartal";"StB 3 Klotzsche/nördliche Ortschaften";569;340;229;535;34;322;247;13;117;112;125;202;77;370;115
"2016";"4. Quartal";"StB 4 Loschwitz/OS Schönfeld-Weißig";560;319;241;524;35;277;283;30;109;125;138;158;76;326;146
"2016";"4. Quartal";"StB 5 Blasewitz";2129;1122;1007;1885;244;1445;684;116;571;431;511;500;451;1201;426
"2016";"4. Quartal";"StB 6 Leuben";1194;652;542;1128;66;853;341;83;296;239;287;289;251;817;105
"2016";"4. Quartal";"StB 7 Prohlis";2785;1647;1138;2352;431;2299;486;234;727;626;627;571;972;1453;246
"2016";"4. Quartal";"StB 8 Plauen";1649;957;692;1247;400;1174;475;128;540;347;313;321;463;718;375
"2016";"4. Quartal";"StB 9 Cotta/westliche Ortschaften";3816;2172;1644;3308;506;2937;879;234;1144;822;800;816;1127;2151;402
"2016";"4. Quartal";"unbekannt";286;227;59;279;7;276;10;45;128;80;16;17;188;85;4
"2017";"4. Quartal";"StB 0 Altstadt";2160;1289;871;1471;684;1693;467;192;649;426;470;423;829;915;410
"2017";"4. Quartal";"StB 1 Neustadt";1804;1095;709;1520;283;1222;582;129;653;453;313;256;547;749;507
"2017";"4. Quartal";"StB 2 Pieschen";1818;1030;788;1644;174;1277;541;107;545;439;362;365;562;1045;211
"2017";"4. Quartal";"StB 3 Klotzsche/nördliche Ortschaften";543;322;221;501;42;275;268;35;119;105;110;174;105;340;98
"2017";"4. Quartal";"StB 4 Loschwitz/OS Schönfeld-Weißig";501;281;220;453;46;239;262;20;116;103;115;147;90;258;152
"2017";"4. Quartal";"StB 5 Blasewitz";2003;1067;936;1736;266;1256;747;135;522;436;431;479;535;1052;414
"2017";"4. Quartal";"StB 6 Leuben";1049;535;514;987;62;740;309;72;242;221;233;281;288;651;110
"2017";"4. Quartal";"StB 7 Prohlis";2574;1542;1032;2068;501;2065;509;213;707;566;538;550;1064;1272;234
"2017";"4. Quartal";"StB 8 Plauen";1586;953;633;1060;523;1141;445;163;519;331;265;308;606;639;339
"2017";"4. Quartal";"StB 9 Cotta/westliche Ortschaften";3382;1963;1419;2860;519;2524;858;306;930;725;670;751;1170;1843;362
"2017";"4. Quartal";"unbekannt";300;243;57;286;14;269;31;65;120;71;27;17;206;87;5
