"Jahr";"Bruttoinlandsprodukt zu Marktpreisen (in Mill. Euro)";"Bruttoinlandsprodukt zu Marktpreisen je Einwohner (in Euro/Person)";"Bruttoinlandsprodukt zu Marktpreisen je Erwerbstätigen (in Euro/Person)";"Bruttowertschöpfung - gesamt (in Mill. Euro)";"davon Land- und Forstwirtschaft, Fischerei (in Mill. Euro)";"davon Produzierendes Gewerbe (in Mill. Euro)";"darunter Verarbeitendes Gewerbe (in Mill. Euro)";"davon Baugewerbe (in Mill. Euro)";"davon Handel, Verkehr und Gastgewerbe, Information und Kommunikation (in Mill. Euro)";"davon Grundstücks- und Wohnungswesen, Finanz- und Unternehmensdienstleister (in Mill. Euro)";"davon Öffentliche und sonstige Dienstleister, Erziehung und Gesundheit (in Mill. Euro)"
"2000";12342;26175;44273;11134;9;2098;1667;747;2108;2847;3325
"2001";13279;28141;47204;12000;10;2452;2009;669;2370;2996;3505
"2002";14231;30119;50529;12872;9;3028;2553;640;2371;3218;3606
"2003";15112;31856;53372;13648;8;3594;3124;735;2349;3269;3692
"2004";15914;33334;56152;14421;10;4318;3799;612;2425;3240;3818
"2005";15525;32168;54553;14049;8;3941;3428;559;2391;3314;3836
"2006";16039;32681;54743;14509;8;3972;3428;608;2524;3409;3989
"2007";16637;33514;55413;14969;9;3975;3428;679;2594;3614;4099
"2008";16300;32628;53741;14664;11;3347;2817;668;2664;3660;4314
"2009";15763;31290;52433;14133;9;2668;2188;684;2629;3686;4458
"2010";16441;32323;54157;14782;12;2698;2215;783;2753;3933;4603
"2011";16628;32314;54152;14927;14;2445;1957;795;2917;3991;4765
"2012";16895;32401;54225;15175;12;2199;1670;844;2991;4139;4991
"2013";17753;33628;56196;15963;12;2572;2037;823;3031;4348;5178
"2014";18583;34830;58304;16729;14;2885;2399;838;3123;4411;5460
"2015";20256;37507;63342;18220;12;3750;3267;878;3211;4770;5599
"2016";20742;38024;64075;18676;13;3748;3218;999;3376;4722;5818
"2017";21530;39208;65221;19401;13;3842;3240;995;3568;4884;6098
"2018";22638;40948;67101;20402;12;3961;3369;1081;3805;5106;6436
"2019";23645;42550;69381;21313;12;3922;3261;1145;4207;5236;6790
"2020";23267;41809;68184;21075;11;3616;2924;1226;4151;5138;6933
